No;Kode Produk;Nama Produk;Jenis Produk;Satuan;Type;Periode;QTY;HPP;Jumlah;Suplier;
1249;PM;PANGSIT MAWAR;Pedas;BALL 1 KG;In;2024-11;60;50000;3000000; Subur Jaya ;
1250;PTB;PILUS TIGA BURUNG ;Asin;BALL 1 KG;In;2024-11;60;30000;1800000; Subur Jaya ;
1251;PAM;PISANG AROMA MAUYUT;Manis;BALL 2 KG;In;2024-11;60;50000;3000000; PB Mekar Sari Putra ;
1252;PAS;PISANG ASIN SDP;Asin;BALL 2 KG;In;2024-11;60;60000;3600000; PB Mekar Sari Putra ;
1253;PST;POKEN STIK TAKARA;Asin;BALL 1 KG;In;2024-11;60;50000;3000000; PB Mekar Sari Putra ;
1254;PBR;POTATO BULAT BALADO RIORY;Pedas;BALL 1 KG;In;2024-11;40;40000;1600000; PB Mekar Sari Putra ;
1255;PKR;POTATO  KOTAK RYORI;Asin;BALL 1 KG;In;2024-11;280;30000;8400000; PB Mekar Sari Putra ;
1256;SA;SIOMAY AZAHRA;Pedas;BALL 1 KG;In;2024-11;40;40000;1600000; Delvi Jaya ;
1257;SB;SALE BASAH ;Manis;BALL 1 KG;In;2024-11;30;30000;900000; Delvi Jaya ;
1258;SBM;SINGKONG BALADO MJ;Pedas;BALL 2 KG;In;2024-11;60;80000;4800000; Delvi Jaya ;
1259;ST;SINGKONG TES ;Asin;BALL 2 KG;In;2024-11;30;100000;3000000; Delvi Jaya ;
1260;SV;SEBLAK VIRAL;Pedas;BALL 1 KG;In;2024-11;45;40000;1800000; Bumi Sari Cianjur  ;
1261;SM;SISTIK MAWAR;Asin;BALL 1 KG;In;2024-11;30;50000;1500000; Bumi Sari Cianjur  ;
1262;SBT;STIK BALADO TAKARA;Pedas;BALL 1 KG;In;2024-11;45;40000;1800000; Bumi Sari Cianjur  ;
1263;SUL;SUMPIA UDANG JAYA LAKSANA ;Asin;BALL 2 KG;In;2024-11;40;80000;3200000; Bumi Sari Cianjur  ;
1264;TGW;TELOR GABUS WIJEN ;Asin;BALL 2 KG;In;2024-11;60;60000;3600000; Bumi Sari Cianjur  ;
1265;TGT;TELOR GABUS TJ;Asin;BALL 1 KG;In;2024-11;60;25000;1500000; Bumi Sari Cianjur  ;
1266;APA;ASTOR PANJANG ALADIN;Manis;BALL 4 KG;In;2024-12;30;120000;3600000; Mandiri Snack ;
1267;AMA;ASTOR MINI ALADIN;Manis;BALL 4 KG;In;2024-12;40;110000;4400000; Mandiri Snack ;
1268;APV;ASTOR PANJANG VALEO ;Manis;BALL 4 KG;In;2024-12;60;120000;7200000; Mandiri Snack ;
1269;BI;BAGELEN ION;Manis;BALL 1 KG;In;2024-12;45;40000;1800000; Mandiri Snack ;
1270;B2B;BANPOL 2 BURUNG;Asin;BALL 2 KG;In;2024-12;20;100000;2000000; Mandiri Snack ;
1271;BK;BANTAL KEJU;Asin;BALL 1 KG;In;2024-12;60;40000;2400000; Mandiri Snack ;
